50	54	63	94	87	93
69	79	62	94	96	89
20	39	8	90	86	52
45	41	50	88	77	67
55	62	52	84	43	55
76	89	78	94	69	100
13	48	34	87	0	23
68	51	16	87	0	48
66	74	62	89	47	100
34	23	0	69	9.5	30
65	79	79	90	84	100
62	57	43	86	23	83
58	45	29	86	86	56
70	56	12	0	70	56
63	70	59	84	78	65
46	52	43	80	0	40
51	73	40	88	51	93
64	41	15	84	62	33
42	53	37	85	5	4
54	45	21	83	8.5	10
49	54	41	82	73	100
39	25	34	88	82	100
56	5	0	93	82	74
77	82	58	95	62	100
69	64	57	88	71	0
64	64	39	86	9	37
40	38	27	55	0	0
47	64	31	86	73	88
57	61	46	89	70	96
61	63	62	94	94	94
84	76	88	90	92	85
62	50	31	83	18	33
61	72	71	89	71	86
56	77	71	91	61	61
81	66	77	97	90	91
50	48	50	97	68	90
75	62	63	88	75	90
61	19	13	85	37	36
55	61	23	84	43	70
32	43	36	84	44	83
39	65	36	89	58	78
27	16	5	88	6.4	54
29	42	24	85	0	65
79	73	45	87	16	8
85	73	69	96	90	100
51	65	33	86	55	95
68	74	39	96	56	68
76	95	81	92	93	50
92	61	66	86	65	0
55	65	56	80	91	78
66	61	70	86	0	61
88	91	58	95	57	81
71	74	30	88	94	56
61	76	50	90	26	50
91	80	78	89	71	79
51	28	26	90	89	100
54	65	49	90	67	35
51	32	33	88	87	97
51	29	41	83	94	97
71	46	30	86	21	97
47	47	11	89	36	20
81	60	29	86	20	32
48	43	34	88	72	78
43	15	8	86	78	90
83	78	69	89	56	48
82	58	63	87	96	70
66	73	61	92	83	83
82	68	76	88	88	76
67	78	56	88	0	0
42	32	14	92	96	65
91	66	82	98	94	100
41	45	0	77	39	0
49	54	25	82	95	78
89	88	57	92	84	54
62	45	52	88	63	96
49	50	26	89	53	22
34	32	27	68	0	12
73	76	76	99	94	85
16	21	0	73	1.8	54
50	76	25	92	84	67
47	55	47	86	0	54
65	62	50	90	30	46
56	78	36	82	94	56
41	53	39	91	61	76
82	53	36	91	88	100
84	68	59	89	89	94
51	38	27	92	54	97
72	58	50	86	91	83
71	39	33	93	94	100
61	47	56	87	84	68
15	28	24	84	79	94
29	29	0	86	60	68
76	76	79	94	94	89
67	70	22	93	36	46
89	69	48	88	43	47
44	52	43	89	77	88
76	73	41	82	64	77
33	44	0	80	12	85
53	58	44	88	33	77
72	55	24	93	52	41
